program_id;tx_count;success_count;base_fees_sol;priority_fees_sol;total_fees_sol;total_cu;avg_cu_per_tx;avg_cu_per_block;blocks_touched;base_only_tx_count;priority_tx_count;median_priority_fee_per_cu_lamports;p25_priority_fee_per_cu_lamports;p75_priority_fee_per_cu_lamports;avg_priority_fee_per_cu_lamports
jCebN34bUfdeUYJT13J1yG16XWQpt5PDx6Mse9GUqhR;596;588;0.003;0.0029;0.0058;76584366;128497;139498;549;19;577;0.0768;0.0738;0.0798;0.0776
PhoeNiXZ8ByJGLkxNfZRnkUfjvmuYqLR89jjFHGqdXY;448;376;0.0022;0.0032;0.0054;15392971;34359;34984;440;434;14;0.1937;0.1604;0.2536;0.2842
ALPHAQmeA7bjrVuccPsYPiCvsi428SNwte66Srvs4pHA;14;0;0.0001;0.002;0.0021;1915184;136799;319197;6;0;14;0.8866;0.6884;1.2236;1.0265
ZERor4xhbUycZ6gb9ntrhqscUcZmAbQDjEAtCf4hbZY;14;2;0.0001;0.0019;0.002;1469792;104985;209970;7;0;14;1.0515;1.0318;2.6218;1.5865
FD1amxhTsDpwzoVX41dxp2ygAESURV2zdUACzxM1Dfw9;101;101;0.0005;0.0014;0.0019;25690869;254365;254365;101;5;96;0.0749;0.0726;0.0784;0.1485
SoLFiHG9TfgtdUXUjWAxi3LtvYuFyDLVhBWxdMZxyCe;3;1;0.0;0.0011;0.0011;276400;92133;138200;2;0;3;3.891;3.7629;6.2301;4.628
Gmso1uvJnLbawvw7yezdfCDcPydwW2s2iqG3w6MDucLo;109;108;0.0005;0.0;0.0005;724961;6651;6651;109;109;0;2.5867;1.8332;2.5867;2.0304
tuna4uSQZncNeeiAMKbstuxA9CUkHH6HmC64wgmnogD;56;56;0.0003;0.0;0.0003;3254299;58112;58112;56;56;0;2.6998;0.0305;2.7042;1.6524
ExponentnaRg3CQbW6dqQNZKXp7gtZ9DGMp1cwC4HAS7;31;31;0.0002;0.0;0.0002;779637;25150;25150;31;31;0;0.3598;0.3404;0.4009;0.3398
NA247a7YE9S3p9CdKmMyETx8TTwbSdVbVYHHxpnHTUV;13;12;0.0001;0.0;0.0001;272072;20929;20929;13;13;0;0.8325;0.8325;0.8325;0.7704
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ;18;18;0.0001;0.0;0.0001;223617;12423;12423;18;18;0;1.4006;0.2225;1.7001;0.9985
TessVdML9pBGgG9yGks7o4HewRaXVAMuoVj4x83GLQH;4;0;0.0;0.0;0.0;143680;35920;35920;4;4;0;0.1371;0.1371;0.1461;0.1393
AQU1FRd7papthgdrwPTTq5JacJh8YtwEXaBfKU3bTz45;2;2;0.0;0.0;0.0;112368;56184;56184;2;2;0;0.094;0.0845;0.094;0.0892
3parcLrT7WnXAcyPfkCz49oofuuf2guUKkjuFkAhZW8Y;1;1;0.0;0.0;0.0;16099;16099;16099;1;1;0;0.3106;0.3106;0.3106;0.3106
13gDzEXCdocbj8iAiqrScGo47NiSuYENGsRqi3SEAwet;4;4;0.0;0.0;0.0;52698;13175;13175;4;4;0;0.3776;0.3776;0.3854;0.3796
1oopBoJG58DgkUVKkEzKgyG9dvRmpgeEm1AVjoHkF78;1;0;0.0;0.0;0.0;19077;19077;19077;1;0;1;0.5242;0.5242;0.5242;0.5242
4MangoMjqJ2firMokCjjGgoK8d4MXcrgL7XJaL3w6fVg;1;1;0.0;0.0;0.0;99570;99570;99570;1;1;0;0.0502;0.0502;0.0502;0.0502
HEvSKofvBgfaexv23kMabbYqxasxU3mQ4ibBMEmJWHny;2;2;0.0;0.0;0.0;11231;5616;5616;2;2;0;0.8905;0.8903;0.8905;0.8904
ZETAxsqBRek56DhiGXrn75yj2NHU3aYUnxvHXpkf3aD;2;1;0.0;0.0;0.0;54930;27465;27465;2;2;0;0.2461;0.1444;0.2461;0.1953
obriQD1zbpyLz95G5n7nJe6a4DPjpFwa5XYPoNm113y;1;1;0.0;0.0;0.0;7162;7162;7162;1;1;0;0.6981;0.6981;0.6981;0.6981
SW1TCH7qEPTdLsDHRgPuMQjbQxKdH2aBStViMFnt64f;3;3;0.0;0.0;0.0;260052;86684;260052;1;3;0;0.0469;0.0469;0.1071;0.067
